date,close,updown,comp,change,open,high,low,volume,amount,marcap,kosdaq_return,kosdaq_ma5,kosdaq_disparity,kosdaq_volatility,kosdaq_foreign_net,kosdaq_inst_net
20230710,860.35,2,-6.92,-0.008,868.0,870.18,857.35,1014982128,9721572767552,414366972436263.0,-0.7979060730798904,875.866,98.22849613982048,1.4781105990783325,-97414848727.0,-140899158140.0
20230711,878.73,1,18.38,0.0214,866.55,878.76,865.65,935391511,9082924297629,423229062701988.0,2.1363398616842,873.6119999999999,100.58584360104945,1.5128959667647583,320714479433.0,75374962455.0
20230712,879.88,1,1.15,0.0013,878.97,880.53,873.91,1043118519,10595066049150,423618918101672.0,0.13087068837982496,871.3520000000001,100.97870894885187,0.7531542600998902,-193029600219.0,-85100595875.0
20230713,893.07,1,13.19,0.015,885.21,895.23,884.33,1122333065,12568445693662,430068141680691.0,1.4990680547347424,875.86,101.96492590139977,1.231346234226904,177846690161.0,-28928953613.0
20230714,896.28,1,3.21,0.0036,898.17,899.68,890.21,1056686324,12330830601818,432702966197944.0,0.3594343108602738,881.6619999999999,101.65800499511151,1.0543660999587956,21740338619.0,-107144263205.0
20230717,898.29,1,2.01,0.0022,894.75,899.44,891.18,1119416578,10494368668897,433666352790006.0,0.22426027580666474,889.25,101.01658701152655,0.9231628946633255,54416175442.0,-141629523621.0
20230718,914.14,1,15.85,0.0176,901.43,914.18,901.12,1139854017,14311263004082,441367892486646.0,1.7644635919357832,896.332,101.98676383304401,1.4488091144071027,499168245330.0,-131835784829.0
20230719,923.72,1,9.58,0.0105,917.51,923.9,910.25,1016893563,15723854281309,446179346656537.0,1.0479795217362753,905.1,102.05723124516628,1.487722204662617,-38019426684.0,79966012836.0
20230720,931.6,1,7.88,0.0085,918.27,931.79,913.98,978780675,14070930953102,450317137849340.0,0.8530723595894907,912.8060000000002,102.05892599303684,1.9395166998812927,-64176271314.0,55222566086.0
20230721,934.58,1,2.98,0.0032,918.51,937.29,918.19,992316458,13390189537646,451830150446042.0,0.31987977672820467,920.466,101.53335375777053,2.079454769136962,-45759372260.0,-17055791305.0
20230724,929.9,2,-4.68,-0.005,934.99,935.55,920.89,966471740,15065765051016,449613086398779.0,-0.5007596995441843,926.7880000000001,100.33578337224908,1.567931207820401,102582749427.0,85435500766.0
20230725,939.96,1,10.06,0.0108,932.17,945.47,924.31,932865875,14807760560656,454570559190489.0,1.0818367566405085,931.952,100.85927172214879,2.2699722153684503,450256202582.0,51696293150.0
20230726,900.63,2,-39.33,-0.0418,945.57,956.4,886.14,1236849184,26481196768146,435360980324054.0,-4.184220605132138,927.3340000000001,97.1203471456886,7.430438782956311,877656222287.0,-209951550853.0
20230727,883.79,2,-16.84,-0.0187,897.44,912.57,878.8,892726452,16018967148825,427799727761563.0,-1.8698022495364341,917.7719999999999,96.29733746507848,3.762925655197015,214156989331.0,266577818400.0
20230728,913.74,1,29.95,0.0339,880.23,914.6,877.96,677661358,11997142808582,442183475626650.0,3.388814084793901,913.604,100.0148860994479,4.162548424843505,284603282007.0,32844298369.0
20230731,935.97,1,22.23,0.0243,923.01,938.43,921.39,691575579,10891085105633,453032138636820.0,2.432858362335022,914.818,102.31215389290549,1.846133844703737,-47290086610.0,57228445864.0
20230801,939.67,1,3.7,0.004,944.71,952.12,926.75,924066636,14537384611931,454817075945774.0,0.3953118155496371,914.76,102.72311863220953,2.6854802002731,-228499953901.0,-188560372202.0
20230802,909.76,2,-29.91,-0.0318,931.17,940.06,907.87,951132825,11809032273269,440343830637426.0,-3.1830323411410344,916.586,99.25527991917834,3.4569412674377333,-326827784135.0,-202516431347.0
20230803,920.32,1,10.56,0.0116,911.28,920.41,897.89,1149308726,13189339893286,445604063527432.0,1.1607456911713054,923.892,99.61337472345252,2.471249231849704,-67576373207.0,60903873669.0
20230804,918.43,2,-1.89,-0.0021,921.16,922.89,914.3,1059449436,11110784464821,445124361055303.0,-0.20536335187761878,924.8299999999999,99.30798092622427,0.9325198662555942,-91470593161.0,-105135602932.0
20230807,898.22,2,-20.21,-0.022,913.25,913.25,894.48,1097671474,13572939610576,436603247933806.0,-2.200494321831814,917.28,97.92211756497471,2.0552970161511066,-199784230250.0,-106520223625.0
20230808,892.34,2,-5.88,-0.0065,901.76,903.78,889.25,1152204796,12944716388906,433028307783190.0,-0.6546280421277584,907.814,98.29546581127853,1.6112934705464839,14994850208.0,-20585751151.0
20230809,908.98,1,16.64,0.0186,891.08,912.94,889.94,1008549151,10654751734490,441076164676548.0,1.8647600690319788,907.658,100.14564957285674,2.581137496072182,254567573150.0,68738379444.0
